,Tipus pla,Nom del pla,Últim esdeveniment,Data de l'últim esdeveniment,Municipi,Comarca,Província
1736,E,PAM SISMICAT,Revisió,2022-03-10,Sant Ramon,Segarra,Lleida
1735,E,PAM NEUCAT,Homologació,2022-03-10,Arbolí,Baix Camp,Tarragona
1730,E,PAM NEUCAT,Homologació,2022-03-10,Torrelles de Foix,Alt Penedès,Barcelona
1729,E,PAM INFOCAT,Homologació,2022-03-10,Súria,Bages,Barcelona
955,E,PAM VENTCAT,Homologació,2022-03-10,Granera,Moianès,Barcelona
952,E,PAM SISMICAT,Revisió,2022-03-10,Verges,Baix Empordà,Girona
951,T,PA PROCICAT,Homologació,2022-03-10,Súria,Bages,Barcelona
1873,T,PA PROCICAT,Homologació,2022-03-10,Santa Oliva,Baix Penedès,Tarragona
1991,E,PAM INUNCAT,Homologació,2022-03-10,Montclar,Berguedà,Barcelona
1516,E,PAM NEUCAT,Homologació,2022-03-10,Tàrrega,Urgell,Lleida
1875,E,PAM SISMICAT,Homologació,2022-03-10,Tàrrega,Urgell,Lleida
2155,E,PAM NEUCAT,Homologació,2022-03-10,Sant Sadurní d'Anoia,Alt Penedès,Barcelona
2157,T,PA PROCICAT,Revisió,2022-03-10,Avellanes i Santa Linya,Noguera,Lleida
939,E,PAM INFOCAT,Homologació,2022-03-10,Sant Cugat Sesgarrigues,Alt Penedès,Barcelona
1707,E,PAM SISMICAT,Homologació,2022-03-10,Arenys de Mar,Maresme,Barcelona
1819,T,PA PROCICAT,Homologació,2022-03-10,Sant Sadurní d'Anoia,Alt Penedès,Barcelona
987,E,PAM SISMICAT,Homologació,2022-03-10,Sant Cugat Sesgarrigues,Alt Penedès,Barcelona
1389,E,PAM SISMICAT,Revisió,2022-03-10,Naut Aran,Val d'Aran,Lleida
2051,E,PAM NEUCAT,Homologació,2022-03-10,Pinell de Solsonès,Solsonès,Lleida
2064,E,PAM SISMICAT,Revisió,2022-03-10,Vallfogona de Balaguer,Noguera,Lleida
1072,E,PAM SISMICAT,Homologació,2022-03-10,Sant Sadurní d'Anoia,Alt Penedès,Barcelona
1391,E,PAM SISMICAT,Homologació,2022-03-10,Baronia de Rialb,Noguera,Lleida
1384,E,PAM VENTCAT,Homologació,2022-03-10,Baronia de Rialb,Noguera,Lleida
1396,E,PAM INUNCAT,Revisió,2022-03-10,Foradada,Noguera,Lleida
2044,E,PAM NEUCAT,Homologació,2022-03-10,Sant Climent de Llobregat,Baix Llobregat,Barcelona
2075,E,PAM NEUCAT,Homologació,2022-03-10,Balsareny,Bages,Barcelona
1802,E,PAM INUNCAT,Homologació,2022-03-10,Sant Climent de Llobregat,Baix Llobregat,Barcelona
2078,E,PAM INUNCAT,Homologació,2022-03-10,Santa Maria de Palautordera,Vallès Oriental,Barcelona
1402,E,PAM INUNCAT,Homologació,2022-03-10,Castellfollit de la Roca,Garrotxa,Girona
1106,T,PA PROCICAT,Homologació,2022-03-10,Sant Pere de Riudebitlles,Alt Penedès,Barcelona
1040,E,PAM NEUCAT,Revisió,2022-03-10,Naut Aran,Val d'Aran,Lleida
1936,E,PAM INUNCAT,Homologació,2022-03-10,Arenys de Mar,Maresme,Barcelona
1355,T,PA PROCICAT,Revisió,2022-03-10,Foradada,Noguera,Lleida
2097,E,PAM INFOCAT,Homologació,2022-03-10,Pinell de Solsonès,Solsonès,Lleida
1428,E,PAM SISMICAT,Homologació,2022-03-10,Pinell de Solsonès,Solsonès,Lleida
1783,E,PAM INUNCAT,Homologació,2022-03-10,Tàrrega,Urgell,Lleida
2101,E,PAM INUNCAT,Homologació,2022-03-10,Moià,Moianès,Barcelona
1010,E,PAM NEUCAT,Homologació,2022-03-10,Sant Pere de Riudebitlles,Alt Penedès,Barcelona
1352,T,PA PROCICAT,Homologació,2022-03-10,Arenys de Mar,Maresme,Barcelona
1440,E,PAM INFOCAT,Homologació,2022-03-10,Gironella,Berguedà,Barcelona
2110,T,PA PROCICAT,Revisió,2022-03-10,Verges,Baix Empordà,Girona
1118,E,PAM VENTCAT,Revisió,2022-03-10,Vallfogona de Balaguer,Noguera,Lleida
2022,E,PAM NEUCAT,Homologació,2022-03-10,Oristà,Lluçanès,Barcelona
1885,E,PAM NEUCAT,Revisió,2022-03-10,Sant Ramon,Segarra,Lleida
1534,E,PAM VENTCAT,Homologació,2022-03-10,Gavet de la Conca,Pallars Jussà,Lleida
2152,E,PAM VENTCAT,Homologació,2022-03-10,Castellfollit de la Roca,Garrotxa,Girona
1890,T,PA PROCICAT,Revisió,2022-03-10,Avellanes i Santa Linya,Noguera,Lleida
1556,E,PAM INUNCAT,Revisió,2022-03-10,Verges,Baix Empordà,Girona
1271,T,PA PROCICAT,Homologació,2022-03-10,Santa Oliva,Baix Penedès,Tarragona
876,E,PAM INFOCAT,Homologació,2022-03-10,Balsareny,Bages,Barcelona
1671,E,PAM NEUCAT,Homologació,2022-03-10,Moià,Moianès,Barcelona
2193,E,PAM INFOCAT,Homologació,2022-03-10,Arbolí,Baix Camp,Tarragona
1193,E,PAM INFOCAT,Homologació,2022-03-10,Granera,Moianès,Barcelona
863,T,PA PROCICAT,Homologació,2022-03-10,Arenys de Mar,Maresme,Barcelona
1683,E,PAM INUNCAT,Homologació,2022-03-10,Gavet de la Conca,Pallars Jussà,Lleida
898,T,PA PROCICAT,Homologació,2022-03-10,Montclar,Berguedà,Barcelona
1566,T,PA PROCICAT,Revisió,2022-03-10,Sant Ramon,Segarra,Lleida
2204,T,PA PROCICAT,Homologació,2022-03-10,Sant Cugat Sesgarrigues,Alt Penedès,Barcelona
1949,E,PAM INFOCAT,Homologació,2022-03-10,Torrelles de Foix,Alt Penedès,Barcelona
886,E,PAM NEUCAT,Homologació,2022-03-10,Santa Maria de Palautordera,Vallès Oriental,Barcelona
878,E,PAM INUNCAT,Homologació,2022-03-10,Olèrdola,Alt Penedès,Barcelona
1267,E,PAM INFOCAT,Homologació,2022-03-10,Santa Maria de Palautordera,Vallès Oriental,Barcelona
1963,E,PAM SISMICAT,Homologació,2022-03-10,Gironella,Berguedà,Barcelona
1248,T,PA PROCICAT,Homologació,2022-03-10,Gironella,Berguedà,Barcelona
873,E,PAM NEUCAT,Homologació,2022-03-10,Sant Cugat Sesgarrigues,Alt Penedès,Barcelona
1694,E,PAM VENTCAT,Revisió,2022-03-10,Foradada,Noguera,Lleida
1548,T,PA PROCICAT,Homologació,2022-03-10,Balsareny,Bages,Barcelona
2168,T,PA PROCICAT,Homologació,2022-03-10,Pinell de Solsonès,Solsonès,Lleida
1628,E,PAM NEUCAT,Homologació,2022-03-10,Montclar,Berguedà,Barcelona
2227,T,PA PROCICAT,Homologació,2022-03-10,Torrelles de Foix,Alt Penedès,Barcelona
1291,E,PAM VENTCAT,Homologació,2022-03-10,Sant Pere de Riudebitlles,Alt Penedès,Barcelona
1283,E,PAM INFOCAT,Homologació,2022-03-10,Sant Pere de Riudebitlles,Alt Penedès,Barcelona
1292,E,PAM SISMICAT,Homologació,2022-03-10,Gavet de la Conca,Pallars Jussà,Lleida
2178,E,PAM VENTCAT,Homologació,2022-03-10,Arenys de Mar,Maresme,Barcelona
915,E,PAM NEUCAT,Homologació,2022-03-10,Súria,Bages,Barcelona
1941,E,PAM SISMICAT,Homologació,2022-03-10,Granera,Moianès,Barcelona
321,E,PAM NEUCAT,Homologació,2022-10-06,Anglès,Selva,Girona
2598,E,PAM NEUCAT,Actualització,2022-10-06,Sant Just Desvern,Baix Llobregat,Barcelona
1931,T,PA PROCICAT,Homologació,2022-10-06,Alcanar,Montsià,Tarragona
320,E,PAM SISMICAT,Homologació,2022-10-06,Navàs,Bages,Barcelona
1386,E,PAM NEUCAT,Homologació,2022-10-06,Pinós,Solsonès,Lleida
2518,E,PAM SISMICAT,Actualització,2022-10-06,Sant Just Desvern,Baix Llobregat,Barcelona
1930,E,PAM NEUCAT,Homologació,2022-10-06,Monistrol de Montserrat,Bages,Barcelona
1374,E,PAM INUNCAT,Homologació,2022-10-06,Avià,Berguedà,Barcelona
1828,E,PAM VENTCAT,Homologació,2022-10-06,Sant Feliu de Codines,Vallès Oriental,Barcelona
426,E,PAM NEUCAT,Revisió,2022-10-06,Esponellà,Pla de l'Estany,Girona
2594,E,PAM INFOCAT,Actualització,2022-10-06,Sant Just Desvern,Baix Llobregat,Barcelona
2510,E,PAM NEUCAT,Revisió,2022-10-06,Girona,Gironès,Girona
1823,E,PAM VENTCAT,Homologació,2022-10-06,Calders,Moianès,Barcelona
306,E,PAM INUNCAT,Homologació,2022-10-06,Vilademuls,Pla de l'Estany,Girona
303,E,PAM NEUCAT,Homologació,2022-10-06,Roquetes,Baix Ebre,Tarragona
410,E,PAM SISMICAT,Homologació,2022-10-06,Castellolí,Anoia,Barcelona
2568,E,PAM INUNCAT,Actualització,2022-10-06,Sant Just Desvern,Baix Llobregat,Barcelona
327,E,PAM VENTCAT,Homologació,2022-10-06,Navàs,Bages,Barcelona
1867,E,PAM VENTCAT,Homologació,2022-10-06,Viladecans,Baix Llobregat,Barcelona
1318,E,PAM SISMICAT,Homologació,2022-10-06,Lliçà d'Amunt,Vallès Oriental,Barcelona
1277,E,PAM SISMICAT,Homologació,2022-10-06,Avià,Berguedà,Barcelona
1871,E,PAM VENTCAT,Revisió,2022-10-06,Mont-ras,Baix Empordà,Girona
384,E,PAM NEUCAT,Homologació,2022-10-06,Sils,Selva,Girona
1293,T,PA PROCICAT,Homologació,2022-10-06,Alàs i Cerc,Alt Urgell,Lleida
377,E,PAM SISMICAT,Homologació,2022-10-06,Sant Feliu de Codines,Vallès Oriental,Barcelona
1294,T,PA PROCICAT,Homologació,2022-10-06,Lliçà d'Amunt,Vallès Oriental,Barcelona
1878,T,PA PROCICAT,Homologació,2022-10-06,Navàs,Bages,Barcelona
372,T,PA PROCICAT,Homologació,2022-10-06,Cabanes,Alt Empordà,Girona
1882,T,PA PROCICAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
1883,E,PAM SISMICAT,Revisió,2022-10-06,Mont-ras,Baix Empordà,Girona
1275,E,PAM NEUCAT,Homologació,2022-10-06,Alàs i Cerc,Alt Urgell,Lleida
1862,T,PA PROCICAT,Homologació,2022-10-06,Alcanar,Montsià,Tarragona
403,T,PA PROCICAT,Homologació,2022-10-06,Oliola,Noguera,Lleida
1265,E,PAM SISMICAT,Homologació,2022-10-06,Valls,Alt Camp,Tarragona
328,E,PAM NEUCAT,Revisió,2022-10-06,Vinaixa,Garrigues,Lleida
1907,T,PA PROCICAT,Homologació,2022-10-06,Valls,Alt Camp,Tarragona
1348,E,PAM INFOCAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
1888,E,PAM INUNCAT,Homologació,2022-10-06,Vilada,Berguedà,Barcelona
1261,T,PA PROCICAT,Homologació,2022-10-06,Sils,Selva,Girona
1849,E,PAM VENTCAT,Homologació,2022-10-06,Toses,Ripollès,Girona
1269,E,PAM NEUCAT,Homologació,2022-10-06,Olvan,Berguedà,Barcelona
393,T,PA PROCICAT,Homologació,2022-10-06,Rupit i Pruit,Osona,Barcelona
1339,E,PAM VENTCAT,Homologació,2022-10-06,Roquetes,Baix Ebre,Tarragona
1334,E,PAM VENTCAT,Revisió,2022-10-06,Pont de Vilomara i Rocafort,Bages,Barcelona
1858,E,PAM VENTCAT,Homologació,2022-10-06,Sant Quintí de Mediona,Alt Penedès,Barcelona
1860,E,PAM INFOCAT,Homologació,2022-10-06,Olvan,Berguedà,Barcelona
1817,E,PAM NEUCAT,Homologació,2022-10-06,Valls,Alt Camp,Tarragona
445,E,PAM VENTCAT,Homologació,2022-10-06,Riba,Alt Camp,Tarragona
83,E,PAM SISMICAT,Homologació,2022-10-06,Arenys de Munt,Maresme,Barcelona
1553,E,PAM NEUCAT,Homologació,2022-10-06,Calaf,Anoia,Barcelona
85,E,PAM INUNCAT,Homologació,2022-10-06,Sils,Selva,Girona
1685,E,PAM INUNCAT,Homologació,2022-10-06,Amer,Selva,Girona
1686,T,PA PROCICAT,Revisió,2022-10-06,Girona,Gironès,Girona
90,E,PAM NEUCAT,Homologació,2022-10-06,Pontons,Alt Penedès,Barcelona
1552,E,PAM INUNCAT,Homologació,2022-10-06,Pinós,Solsonès,Lleida
1692,E,PAM SISMICAT,Homologació,2022-10-06,Guixers,Solsonès,Lleida
1697,E,PAM VENTCAT,Homologació,2022-10-06,Anglès,Selva,Girona
2707,E,PAM SISMICAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
1702,E,PAM NEUCAT,Homologació,2022-10-06,Rupit i Pruit,Osona,Barcelona
2700,E,PAM INUNCAT,Homologació,2022-10-06,Avinyó,Bages,Barcelona
1708,E,PAM NEUCAT,Homologació,2022-10-06,Navàs,Bages,Barcelona
1710,T,PA PROCICAT,Homologació,2022-10-06,Monistrol de Montserrat,Bages,Barcelona
123,E,PAM INUNCAT,Homologació,2022-10-06,Viladecans,Baix Llobregat,Barcelona
126,E,PAM INFOCAT,Homologació,2022-10-06,Rupit i Pruit,Osona,Barcelona
1520,E,PAM INFOCAT,Homologació,2022-10-06,Toses,Ripollès,Girona
1717,T,PA PROCICAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
1565,E,PAM VENTCAT,Homologació,2022-10-06,Castellolí,Anoia,Barcelona
66,T,PA PROCICAT,Homologació,2022-10-06,Guixers,Solsonès,Lleida
2,E,PAM NEUCAT,Homologació,2022-10-06,Avià,Berguedà,Barcelona
1621,E,PAM SISMICAT,Homologació,2022-10-06,Rupit i Pruit,Osona,Barcelona
1620,E,PAM VENTCAT,Homologació,2022-10-06,Fortià,Alt Empordà,Girona
8,E,PAM SISMICAT,Homologació,2022-10-06,Toses,Ripollès,Girona
10,E,PAM INFOCAT,Revisió,2022-10-06,Vinaixa,Garrigues,Lleida
1608,E,PAM SISMICAT,Homologació,2022-10-06,Olvan,Berguedà,Barcelona
1607,E,PAM VENTCAT,Homologació,2022-10-06,Rupit i Pruit,Osona,Barcelona
25,E,PAM INFOCAT,Homologació,2022-10-06,Pinós,Solsonès,Lleida
1591,T,PA PROCICAT,Homologació,2022-10-06,Sant Quintí de Mediona,Alt Penedès,Barcelona
1652,E,PAM INUNCAT,Homologació,2022-10-06,Arenys de Munt,Maresme,Barcelona
35,E,PAM INFOCAT,Homologació,2022-10-06,Oliola,Noguera,Lleida
1580,E,PAM INFOCAT,Homologació,2022-10-06,Castellolí,Anoia,Barcelona
39,E,PAM VENTCAT,Homologació,2022-10-06,Alàs i Cerc,Alt Urgell,Lleida
1577,E,PAM SISMICAT,Homologació,2022-10-06,Sils,Selva,Girona
41,E,PAM VENTCAT,Homologació,2022-10-06,Avià,Berguedà,Barcelona
45,E,PAM INUNCAT,Homologació,2022-10-06,Castellolí,Anoia,Barcelona
49,E,PAM SISMICAT,Homologació,2022-10-06,Alcanar,Montsià,Tarragona
59,T,PA PROCICAT,Homologació,2022-10-06,Roquetes,Baix Ebre,Tarragona
61,E,PAM INFOCAT,Homologació,2022-10-06,Vilademuls,Pla de l'Estany,Girona
64,E,PAM NEUCAT,Homologació,2022-10-06,Vilada,Berguedà,Barcelona
2685,E,PA PROCICAT,Homologació,2022-10-06,Anglès,Selva,Girona
292,E,PAM INUNCAT,Homologació,2022-10-06,Alcanar,Montsià,Tarragona
1511,E,PAM INFOCAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
1499,E,PAM VENTCAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
215,E,PAM INUNCAT,Homologació,2022-10-06,Pontons,Alt Penedès,Barcelona
218,E,PAM INUNCAT,Homologació,2022-10-06,Monistrol de Montserrat,Bages,Barcelona
227,E,PAM INFOCAT,Revisió,2022-10-06,Pont de Vilomara i Rocafort,Bages,Barcelona
1790,E,PAM NEUCAT,Homologació,2022-10-06,Vilademuls,Pla de l'Estany,Girona
1413,E,PAM SISMICAT,Homologació,2022-10-06,Sant Quintí de Mediona,Alt Penedès,Barcelona
1410,E,PAM VENTCAT,Homologació,2022-10-06,Guixers,Solsonès,Lleida
238,E,PAM VENTCAT,Homologació,2022-10-06,Lleida,Segrià,Lleida
1407,E,PAM VENTCAT,Homologació,2022-10-06,Arenys de Munt,Maresme,Barcelona
1404,E,PAM SISMICAT,Revisió,2022-10-06,Esponellà,Pla de l'Estany,Girona
1804,E,PAM VENTCAT,Homologació,2022-10-06,Calaf,Anoia,Barcelona
256,E,PAM INUNCAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
261,E,PAM SISMICAT,Homologació,2022-10-06,Cabanes,Alt Empordà,Girona
263,E,PAM INFOCAT,Homologació,2022-10-06,Anglès,Selva,Girona
267,T,PA PROCICAT,Homologació,2022-10-06,Borges del Camp,Baix Camp,Tarragona
1390,E,PAM INFOCAT,Homologació,2022-10-06,Calders,Moianès,Barcelona
277,E,PAM INUNCAT,Homologació,2022-10-06,Lliçà d'Amunt,Vallès Oriental,Barcelona
1424,E,PAM INFOCAT,Revisió,2022-10-06,Esponellà,Pla de l'Estany,Girona
1425,E,PAM INUNCAT,Homologació,2022-10-06,Guixers,Solsonès,Lleida
2645,E,PAM VENTCAT,Actualització,2022-10-06,Sant Just Desvern,Baix Llobregat,Barcelona
1498,T,PA PROCICAT,Homologació,2022-10-06,Toses,Ripollès,Girona
1728,E,PAM VENTCAT,Homologació,2022-10-06,Cabanes,Alt Empordà,Girona
1738,T,PA PROCICAT,Homologació,2022-10-06,Sant Feliu de Codines,Vallès Oriental,Barcelona
1483,E,PAM INFOCAT,Homologació,2022-10-06,Lladurs,Solsonès,Lleida
1482,E,PAM INUNCAT,Homologació,2022-10-06,Toses,Ripollès,Girona
1746,T,PA PROCICAT,Homologació,2022-10-06,Lleida,Segrià,Lleida
1750,E,PAM VENTCAT,Homologació,2022-10-06,Lliçà d'Amunt,Vallès Oriental,Barcelona
1471,E,PAM INUNCAT,Revisió,2022-10-06,Vinaixa,Garrigues,Lleida
1759,E,PAM VENTCAT,Homologació,2022-10-06,Olvan,Berguedà,Barcelona
1464,E,PAM INFOCAT,Homologació,2022-10-06,Sant Quintí de Mediona,Alt Penedès,Barcelona
178,E,PAM INUNCAT,Homologació,2022-10-06,Lladurs,Solsonès,Lleida
1450,E,PAM INFOCAT,Homologació,2022-10-06,Alcanar,Montsià,Tarragona
1765,E,PAM VENTCAT,Homologació,2022-10-06,Valls,Alt Camp,Tarragona
1448,T,PA PROCICAT,Revisió,2022-10-06,Esponellà,Pla de l'Estany,Girona
1769,E,PAM INFOCAT,Homologació,2022-10-06,Borges del Camp,Baix Camp,Tarragona
1434,E,PAM VENTCAT,Revisió,2022-10-06,Girona,Gironès,Girona
1781,T,PA PROCICAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
1508,E,PAM SISMICAT,Homologació,2022-10-06,Lleida,Segrià,Lleida
1416,E,PAM NEUCAT,Homologació,2022-10-06,Lladurs,Solsonès,Lleida
2056,E,PAM INFOCAT,Homologació,2022-10-06,Pontons,Alt Penedès,Barcelona
617,T,PA PROCICAT,Homologació,2022-10-06,Pobla de Lillet,Berguedà,Barcelona
618,E,PAM SISMICAT,Revisió,2022-10-06,Girona,Gironès,Girona
2189,E,PAM NEUCAT,Homologació,2022-10-06,Viladecans,Baix Llobregat,Barcelona
1052,E,PAM SISMICAT,Homologació,2022-10-06,Anglès,Selva,Girona
634,T,PA PROCICAT,Homologació,2022-10-06,Calders,Moianès,Barcelona
914,E,PAM INUNCAT,Homologació,2022-10-06,Anglès,Selva,Girona
1058,E,PAM INFOCAT,Homologació,2022-10-06,Avià,Berguedà,Barcelona
1933,T,PA PROCICAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
639,E,PAM VENTCAT,Homologació,2022-10-06,Pontons,Alt Penedès,Barcelona
1025,E,PAM INFOCAT,Homologació,2022-10-06,Roquetes,Baix Ebre,Tarragona
2175,E,PAM INUNCAT,Revisió,2022-10-06,Pont de Vilomara i Rocafort,Bages,Barcelona
1022,E,PAM VENTCAT,Homologació,2022-10-06,Lladurs,Solsonès,Lleida
646,T,PA PROCICAT,Homologació,2022-10-06,Valls,Alt Camp,Tarragona
647,E,PAM INUNCAT,Homologació,2022-10-06,Oliola,Noguera,Lleida
1017,E,PAM INUNCAT,Homologació,2022-10-06,Masroig,Priorat,Tarragona
1005,E,PAM VENTCAT,Homologació,2022-10-06,Oliola,Noguera,Lleida
2093,E,PAM INUNCAT,Homologació,2022-10-06,Navàs,Bages,Barcelona
748,T,PA PROCICAT,Homologació,2022-10-06,Lladurs,Solsonès,Lleida
616,E,PAM NEUCAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
1093,T,PA PROCICAT,Homologació,2022-10-06,Pontons,Alt Penedès,Barcelona
2259,T,PA PROCICAT,Homologació,2022-10-06,Lleida,Segrià,Lleida
787,E,PAM NEUCAT,Revisió,2022-10-06,Pont de Vilomara i Rocafort,Bages,Barcelona
2382,E,PAM INUNCAT,Homologació,2022-10-06,Cabanes,Alt Empordà,Girona
2394,E,PAM INFOCAT,Homologació,2022-10-06,Monistrol de Montserrat,Bages,Barcelona
1089,T,PA PROCICAT,Homologació,2022-10-06,Castellolí,Anoia,Barcelona
1087,T,PA PROCICAT,Homologació,2022-10-06,Borges del Camp,Baix Camp,Tarragona
2068,E,PAM SISMICAT,Homologació,2022-10-06,Oliola,Noguera,Lleida
2385,E,PAM NEUCAT,Homologació,2022-10-06,Calders,Moianès,Barcelona
774,E,PAM INFOCAT,Homologació,2022-10-06,Sant Feliu de Codines,Vallès Oriental,Barcelona
1064,T,PA PROCICAT,Homologació,2022-10-06,Riba,Alt Camp,Tarragona
2191,E,PAM NEUCAT,Homologació,2022-10-06,Amer,Selva,Girona
656,E,PAM INUNCAT,Revisió,2022-10-06,Mont-ras,Baix Empordà,Girona
747,E,PAM SISMICAT,Homologació,2022-10-06,Viladecans,Baix Llobregat,Barcelona
962,E,PAM INFOCAT,Homologació,2022-10-06,Pobla de Lillet,Berguedà,Barcelona
686,T,PA PROCICAT,Homologació,2022-10-06,Riba,Alt Camp,Tarragona
960,E,PAM NEUCAT,Homologació,2022-10-06,Sant Feliu de Codines,Vallès Oriental,Barcelona
691,E,PAM INUNCAT,Homologació,2022-10-06,Fortià,Alt Empordà,Girona
958,E,PAM ALLAUCAT,Homologació,2022-10-06,Toses,Ripollès,Girona
696,E,PAM INFOCAT,Homologació,2022-10-06,Vilada,Berguedà,Barcelona
2310,E,PAM INUNCAT,Homologació,2022-10-06,Borges del Camp,Baix Camp,Tarragona
2309,E,PAM VENTCAT,Revisió,2022-10-06,Vinaixa,Garrigues,Lleida
932,E,PAM INFOCAT,Homologació,2022-10-06,Viladecans,Baix Llobregat,Barcelona
729,T,PA PROCICAT,Homologació,2022-10-06,Calaf,Anoia,Barcelona
943,E,PAM INFOCAT,Homologació,2022-10-06,Navàs,Bages,Barcelona
718,E,PAM INFOCAT,Homologació,2022-10-06,Masroig,Priorat,Tarragona
2312,E,PAM NEUCAT,Homologació,2022-10-06,Sant Quintí de Mediona,Alt Penedès,Barcelona
977,T,PA PROCICAT,Revisió,2022-10-06,Vinaixa,Garrigues,Lleida
2289,E,PAM SISMICAT,Homologació,2022-10-06,Monistrol de Montserrat,Bages,Barcelona
2107,E,PAM INFOCAT,Homologació,2022-10-06,Amer,Selva,Girona
925,E,PAM VENTCAT,Homologació,2022-10-06,Masroig,Priorat,Tarragona
1000,E,PAM VENTCAT,Homologació,2022-10-06,Vilademuls,Pla de l'Estany,Girona
2114,E,PAM ALLAUCAT,Homologació,2022-10-06,Guixers,Solsonès,Lleida
665,E,PAM VENTCAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
994,E,PAM VENTCAT,Homologació,2022-10-06,Alcanar,Montsià,Tarragona
992,E,PAM NEUCAT,Homologació,2022-10-06,Cabanes,Alt Empordà,Girona
2117,E,PAM INUNCAT,Homologació,2022-10-06,Lleida,Segrià,Lleida
2122,E,PAM SISMICAT,Homologació,2022-10-06,Vilademuls,Pla de l'Estany,Girona
740,E,PAM INFOCAT,Revisió,2022-10-06,Girona,Gironès,Girona
2336,E,PAM INFOCAT,Homologació,2022-10-06,Avinyó,Bages,Barcelona
2128,T,PA PROCICAT,Revisió,2022-10-06,Girona,Gironès,Girona
929,E,PAM NEUCAT,Revisió,2022-10-06,Mont-ras,Baix Empordà,Girona
981,E,PAM INFOCAT,Homologació,2022-10-06,Lliçà d'Amunt,Vallès Oriental,Barcelona
738,E,PAM VENTCAT,Homologació,2022-10-06,Vilada,Berguedà,Barcelona
2331,T,PA PROCICAT,Homologació,2022-10-06,Avià,Berguedà,Barcelona
2256,E,PAM VENTCAT,Revisió,2022-10-06,Esponellà,Pla de l'Estany,Girona
724,T,PA PROCICAT,Homologació,2022-10-06,Avinyó,Bages,Barcelona
2046,E,PAM SISMICAT,Homologació,2022-10-06,Pobla de Lillet,Berguedà,Barcelona
1177,E,PAM NEUCAT,Homologació,2022-10-06,Guixers,Solsonès,Lleida
1982,E,PAM NEUCAT,Homologació,2022-10-06,Barcelona,Barcelonès,Barcelona
1174,T,PA PROCICAT,Homologació,2022-10-06,Amer,Selva,Girona
856,E,PAM VENTCAT,Homologació,2022-10-06,Amer,Selva,Girona
494,E,PAM INUNCAT,Revisió,2022-10-06,Girona,Gironès,Girona
496,E,PAM SISMICAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
2462,T,PA PROCICAT,Homologació,2022-10-06,Roquetes,Baix Ebre,Tarragona
1986,E,PAM NEUCAT,Homologació,2022-10-06,Oliola,Noguera,Lleida
2460,E,PAM INUNCAT,Homologació,2022-10-06,Roquetes,Baix Ebre,Tarragona
2245,E,PAM SISMICAT,Homologació,2022-10-06,Fortià,Alt Empordà,Girona
505,E,PAM INUNCAT,Homologació,2022-10-06,Riba,Alt Camp,Tarragona
2004,E,PAM NEUCAT,Homologació,2022-10-06,Avinyó,Bages,Barcelona
1233,E,PAM INUNCAT,Homologació,2022-10-06,Valls,Alt Camp,Tarragona
443,E,PAM INFOCAT,Homologació,2022-10-06,Riba,Alt Camp,Tarragona
841,T,PA PROCICAT,Homologació,2022-10-06,Fortià,Alt Empordà,Girona
2226,E,PAM INFOCAT,Homologació,2022-10-06,Arenys de Munt,Maresme,Barcelona
846,E,PAM INFOCAT,Revisió,2022-10-06,Mont-ras,Baix Empordà,Girona
1227,E,PAM VENTCAT,Homologació,2022-10-06,Pobla de Lillet,Berguedà,Barcelona
1224,T,PA PROCICAT,Homologació,2022-10-06,Viladecans,Baix Llobregat,Barcelona
1220,T,PA PROCICAT,Revisió,2022-10-06,Vinaixa,Garrigues,Lleida
2492,E,PAM SISMICAT,Homologació,2022-10-06,Calders,Moianès,Barcelona
1219,E,PAM INUNCAT,Homologació,2022-10-06,Castellvell del Camp,Baix Camp,Tarragona
1217,E,PAM SISMICAT,Homologació,2022-10-06,Calaf,Anoia,Barcelona
1208,E,PAM SISMICAT,Homologació,2022-10-06,Pinós,Solsonès,Lleida
1959,E,PAM INUNCAT,Homologació,2022-10-06,Calders,Moianès,Barcelona
1196,E,PAM INUNCAT,Revisió,2022-10-06,Esponellà,Pla de l'Estany,Girona
478,T,PA PROCICAT,Homologació,2022-10-06,Vilada,Berguedà,Barcelona
519,E,PAM SISMICAT,Homologació,2022-10-06,Lladurs,Solsonès,Lleida
1167,E,PAM INFOCAT,Homologació,2022-10-06,Sils,Selva,Girona
2011,T,PA PROCICAT,Homologació,2022-10-06,Masroig,Priorat,Tarragona
2030,E,PAM VENTCAT,Homologació,2022-10-06,Sils,Selva,Girona
1104,E,PAM NEUCAT,Homologació,2022-10-06,Pobla de Lillet,Berguedà,Barcelona
