Pluviometría. Precipitación mensual y anual. Comarcas y Aran
2019
Unidades: Milímetros.
Fuente: Departamento de Territorio y Sostenibilidad. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15195&t=201900&lang=es
;Estaciones;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Alt Camp;Vila-rodona;6,4;2,5;1,9;22,6;48,7;13,1;10,9;49,6;14,1;78,2;29,6;64,5;342,1
Alt Empordà;Roses;9,6;3,9;0,1;54,8;33,9;10,8;19,7;2,1;92,5;157,8;46,8;90,9;522,9
Alt Penedès;la Granada;19,6;4,2;1,9;49,5;68,9;19,8;28,7;54,2;30,8;76,3;34,3;77,3;465,5
Alt Urgell;la Seu d'Urgell;34,9;9,2;2,2;55,3;82,0;44,4;54,1;45,4;32,9;94,6;67,2;70,0;592,2
Alta Ribagorça;el Pont de Suert;57,8;19,3;12,5;95,9;61,9;19,8;51,9;88,5;18,2;175,0;119,4;122,7;842,9
Anoia;els Hostalets de Pierola;18,5;3,1;1,3;40,2;61,0;22,9;59,6;26,0;41,7;100,5;31,5;117,6;523,9
Aran;Vielha e Mijaran;97,7;43,6;21,4;121,3;87,7;43,4;38,8;73,5;50,7;158,3;130,4;196,1;1062,9
Bages;Sant Salvador de Guardiola;10,7;0,4;2,7;34,0;50,0;16,8;47,8;46,0;33,4;129,3;25,9;93,3;490,3
Baix Camp;Vinyols i els Arcs;5,3;1,1;1,8;17,5;50,2;3,6;6,5;35,2;35,8;204,8;23,0;41,9;426,7
Baix Ebre;el Perelló;4,4;0,8;2,0;13,4;21,1;1,9;5,6;41,8;44,2;116,1;12,2;53,6;317,1
Baix Empordà;la Bisbal d'Empordà;9,2;0,9;9,1;74,3;63,1;19,2;44,6;3,5;73,8;155,0;46,0;81,1;579,8
Baix Llobregat;el Prat de Llobregat;28,7;0,6;0,2;40,8;86,1;28,6;35,3;36,6;104,4;64,0;41,3;89,2;555,8
Baix Penedès;el Vendrell;13,6;4,2;0,2;12,1;68,2;17,0;6,0;34,6;38,5;57,3;51,4;65,7;368,8
Barcelonès;Barcelona - el Raval;24,4;0,9;0,7;19,8;70,5;24,1;59,0;38,1;151,3;82,7;51,5;103,6;626,6
Berguedà;la Quar;8,4;4,6;5,9;77,6;78,1;17,3;59,2;40,9;94,6;108,3;43,9;58,2;597,0
Cerdanya;Puigcerdà;41,9;16,8;2,5;75,7;77,2;60,2;93,5;45,2;22,6;108,0;58,6;75,7;677,9
Conca de Barberà;l'Espluga de Francolí;12,2;4,5;2,7;44,1;38,3;4,6;33,1;23,0;25,2;174,4;23,9;57,2;443,2
Garraf;Canyelles;29,1;7,8;3,5;27,9;68,2;20,5;14,9;74,1;32,5;67,2;56,5;64,4;466,6
Garrigues;la Granadella;10,9;4,9;1,0;39,7;29,8;1,3;37,8;11,7;8,9;122,2;31,0;44,1;343,3
Garrotxa;Olot;4,6;2,2;7,7;70,4;77,8;23,6;40,0;21,9;60,6;140,1;45,4;119,3;613,6
Gironès;Girona;11,0;0,9;8,1;58,8;67,3;11,7;33,1;7,6;71,5;108,1;31,4;130,5;540,0
Maresme;Cabrils;14,4;5,2;0,9;28,3;54,5;21,9;54,4;42,2;46,5;94,1;40,2;111,3;513,9
Moianès;Moià;..;..;..;..;..;..;..;..;..;..;..;..;..
Montsià;Amposta;2,2;2,0;9,6;8,9;26,9;2,4;5,0;23,4;25,0;138,2;7,7;89,5;340,8
Noguera;Vallfogona de Balaguer;6,4;9,5;1,0;20,2;46,8;7,6;51,7;23,0;5,8;143,7;26,7;47,4;389,8
Osona;Gurb;17,9;2,4;6,2;59,6;76,7;16,1;48,4;17,1;100,5;82,4;36,7;64,2;528,2
Pallars Jussà;la Pobla de Segur;14,4;12,2;2,0;73,4;90,3;61,9;62,4;57,7;26,5;141,2;86,2;71,2;699,4
Pallars Sobirà;Sort;50,0;28,6;5,9;71,4;104,1;43,1;58,4;77,1;10,1;97,7;123,3;106,0;775,7
Pla d'Urgell;Mollerussa;8,6;9,4;0,7;26,7;52,2;6,1;26,7;40,7;7,7;195,9;19,9;43,1;437,7
Pla de l'Estany;Banyoles;9,2;8,6;1,5;59,2;78,9;20,6;43,4;7,1;43,6;138,5;26,4;71,0;508,0
Priorat;Falset;11,4;4,2;2,5;38,1;42,7;8,1;26,7;13,9;46,7;171,1;27,5;73,0;465,9
Ribera d'Ebre;Vinebre;6,4;2,8;0,9;33,6;31,1;3,0;16,5;31,6;16,7;113,2;26,0;39,0;320,8
Ripollès;Sant Pau de Segúries;15,0;11,7;8,9;86,3;99,7;43,3;79,4;10,4;69,1;154,8;59,3;119,0;756,9
Segarra;Cervera;10,4;8,0;1,3;40,1;55,1;5,2;24,3;15,2;21,9;103,5;17,6;53,6;356,2
Segrià;Raimat;5,7;7,7;0,0;32,0;52,7;9,6;41,9;21,9;7,3;88,4;17,9;46,3;331,4
Selva;Anglès;9,8;1,3;7,3;61,3;71,6;23,0;21,9;10,4;88,9;109,7;33,5;71,9;510,6
Solsonès;Solsona;9,9;14,1;2,0;70,9;59,1;22,3;49,7;25,5;26,3;146,0;45,8;50,5;522,1
Tarragonès;Tarragona - Complex Educatiu;4,1;3,1;0,4;21,3;44,1;7,2;8,4;75,5;33,4;113,1;16,7;32,6;359,9
Terra Alta;Horta de St. Joan;9,4;4,1;1,5;51,9;28,9;0,7;18,7;13,9;49,3;101,4;26,6;81,9;388,3
Urgell;Tàrrega;14,1;9,7;0,5;42,5;53,8;22,3;31,7;11,9;20,5;123,7;18,1;52,8;401,6
Vallès Occidental;Sabadell - Parc Agrari;11,7;3,3;2,0;47,6;90,7;29,7;39,4;41,8;19,4;131,1;34,0;102,3;553,0
Vallès Oriental;Caldes de Montbui;8,7;1,0;3,0;45,8;72,9;29,0;74,3;31,8;30,7;104,7;23,8;80,8;506,5

