COMARCA;2022-1;2022-2;2022-3;2022-4;2022-5;2022-6;2022-7;2022-8;2022-9;2022-10;2022-11;2022-12;2022-13
Alt Camp;3.4;5.8;7.3;8.1;12.6;17.4;19.2;19.6;17;14.3;9.5;7.3;11.8
Alt Empordà;1.8;4.9;8;9.9;14.9;19.3;21.5;21.3;16.9;15.2;9.4;6.5;12.5
Alt Penedès;1.8;4.3;6.7;7.7;11.8;16.2;18.3;18.9;16.2;14.1;8.7;5.9;10.9
Alt Urgell;-3.9;-0.5;2.3;3.5;9.3;13.8;16.1;14.2;10.9;8.7;2.3;0.2;6.4
Alta Ribagorça;-6.9;-3.6;0.3;1.3;6.5;10.7;12.4;11.6;7.9;6.9;0.3;-1.3;3.9
Anoia;2.5;5.3;7;8.2;13.5;17.9;20.3;19.5;16.4;14.5;9.1;6.5;11.8
Aran;-2.9;-1;2.1;2.6;8.5;12.1;13.5;13;8.8;9.4;2.4;1.2;5.9
Bages;-3.8;0.4;4;4.6;9.4;14.7;16.5;16.4;13.8;11.2;4.5;1.7;7.8
Baix Camp;2.4;6.4;8.6;9;13;18.5;20.7;21.7;18.9;15.9;10.5;7;12.8
Baix Ebre;3.9;7.7;8.2;9.9;14.3;19.3;21.4;21.5;18.6;16.7;11.3;7.8;13.4
Baix Empordà;-1.6;1.3;5.9;6.7;11.9;16.5;18.4;18.8;15.1;13.5;7.1;4.8;9.9
Baix Llobregat;2.7;4.9;8.4;8.1;12.8;17.9;19.9;20.9;18.1;15.5;10;6.8;12.2
Baix Penedès;1.3;4.4;7.4;7.8;11.9;17.9;19.5;20.1;17.9;14.4;9.6;5.9;11.6
Barcelonès;7.6;10.1;11.4;12.3;17.8;22.2;24.7;24.7;21.3;19.2;13.8;11;16.4
Berguedà;0.4;1.7;3.7;5.2;11;15.3;17.4;16;12.8;11.6;4.9;3.1;8.6
Cerdanya;-4;-1.1;0.8;1.7;7.2;11.3;13.3;11.7;8.3;6.6;1;-1.6;4.6
Conca de Barberà;0.4;3.2;5.3;6.3;10.6;16;17.5;17.7;14.8;12.2;6.7;4.1;9.6
Garraf;0.7;3.1;6.8;7.4;11.7;17.2;18.8;19.4;16.7;13.9;8.7;5.3;10.9
Garrigues;-3.7;1.9;4.8;5.9;11.1;16.3;17.7;17.6;14.6;11.5;5.2;2;8.8
Garrotxa;-3.5;0.3;4.1;5;9.7;14.6;16.6;15.8;12.8;10.5;4.2;2.4;7.8
Gironès;-3.9;0.2;5.6;5.8;10.7;15.4;16.9;17.1;13.9;12;4.8;2.7;8.5
Maresme;3.9;6.7;9.4;9.6;14.6;19.1;21.1;21.8;18.3;16;11.3;8.1;13.4
Montsià;3.9;6.9;9.1;10.3;15.3;20.4;22;22;19.4;17.7;12.3;8.4;14
Noguera;-3.8;0.3;5.6;5.9;11.6;17.3;18.8;18.2;14.9;13.2;4.9;3.1;9.2
Osona;-4.2;0.4;4.4;5.1;9.5;14.6;16.9;16;13.4;10.4;4.2;2;7.8
Pallars Jussà;-5.6;-1.1;3.3;4.8;9.6;15.4;17.8;16.4;13;10.8;3.6;1.5;7.5
Pallars Sobirà;-4.1;-0.6;2.4;4.1;9.1;13.1;15.4;14.5;10.4;8;2;-0.9;6.2
Pla d'Urgell;-3.6;0.8;5.2;6.2;10.9;16;17.4;17.8;14.5;11.5;5.1;2.3;8.7
Pla de l'Estany;1.4;4.2;7.2;8.2;13.5;18.1;20.3;19.6;16;14.2;8;6.4;11.5
Priorat;-0.1;4.5;6.9;7.4;12.6;17.9;19.6;20;16.7;15;8.3;5.7;11.2
Ribera d'Ebre;-2.1;2.9;7;7.8;13.1;18.9;20.9;21;17.7;14.8;7.7;4.4;11.2
Ripollès;-5.1;-0.9;2.3;2.7;7.3;11.5;13.2;12.6;9.5;7.3;1.6;0.4;5.2
Segarra;-0.5;2.9;5.2;5.8;11.6;16.8;18.7;18.3;14.9;13.2;6.4;4.2;9.8
Segrià;-3.2;1.4;5.6;6.6;11.6;16.9;18.5;18.9;15.7;12.4;6;3.4;9.5
Selva;-1.4;1.6;5.9;6.5;11.5;16;17.7;18.6;14.6;11.6;6.3;4.6;9.5
Solsonès;-2.2;1.2;3.3;4.2;8.8;13.9;16.2;15.6;12.4;10.5;4.7;2.7;7.7
Tarragonès;3.2;7;9.5;9.8;14.2;19.7;21.9;22.9;19.5;16.9;11.5;8.2;13.7
Terra Alta;1.6;4.3;5.9;7;12.2;16.8;18.1;18.5;15.4;13.6;8;5.3;10.6
Urgell;-0.4;3.6;6;7;13;18.4;20;19.6;15.8;13.9;7.1;4.6;10.7
Vallès Occidental;0.2;3.3;6.2;6.8;11.4;16.7;18.7;18.8;15.7;12.8;7.7;5.2;10.3
Vallès Oriental;1.9;5.4;8;8.8;13.9;18.7;21.1;20.6;17.3;14.8;9.2;6.8;12.2
