Termometría. Temperaturas máximas. Media anual. Comarcas y Aran
2018
Unidades: Grados centígrados.
Fuente: Departamento de Territorio y Sostenibilidad. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15193&t=201800&lang=es
;Estaciones;Media mensual. Enero;Media mensual. Febrero;Media mensual. Marzo;Media mensual. Abril;Media mensual. Mayo;Media mensual. Junio;Media mensual. Julio;Media mensual. Agosto;Media mensual. Septiembre;Media mensual. Octubre;Media mensual. Noviembre;Media mensual. Diciembre;Media mensual. Media anual
Pla de l'Estany;Banyoles;14,8;10,7;16,5;20,7;22,8;28,0;32,5;32,0;27,8;21,5;16,4;14,9;21,6
Priorat;Falset;13,7;11,0;16,0;19,5;22,4;28,2;32,9;32,6;29,0;20,9;15,4;13,2;21,3
Ribera d'Ebre;Vinebre;15,7;13,4;18,3;22,1;25,5;30,9;35,4;35,2;32,2;23,5;17,4;14,1;23,7
Ripollès;Sant Pau de Segúries;11,0;6,9;12,2;16,7;18,2;22,8;26,8;26,4;22,9;17,2;12,0;12,3;17,2
Segarra;Cervera;10,6;8,3;13,2;18,0;21,0;26,7;32,3;31,1;27,7;19,2;13,1;9,0;19,3
Segrià;Raimat;12,3;10,7;15,2;19,6;23,5;28,9;32,5;31,8;28,5;21,0;14,9;9,8;20,8
Selva;Anglès;15,5;11,4;17,2;21,3;23,3;28,5;32,6;32,4;28,8;22,4;17,1;16,2;22,3
Solsonès;Pinós;9,7;7,2;12,0;17,2;19,8;25,4;30,6;29,5;26,8;18,6;12,2;7,8;18,1
Tarragonès;Tarragona - Complex Educatiu;16,9;13,4;17,9;19,9;22,9;27,4;30,5;31,4;28,4;23,4;18,9;17,4;22,4
Terra Alta;Horta de St. Joan;12,7;9,5;14,5;18,5;21,6;27,4;32,6;32,3;29,1;20,2;14,5;12,7;20,6
Urgell;Tàrrega;12,0;9,8;15,3;19,5;23,3;28,9;33,8;32,6;29,4;20,8;14,4;9,6;20,8
Vallès Occidental;Sabadell - Parc Agrari;14,7;11,1;15,9;19,5;22,7;27,5;31,5;30,8;27,6;21,8;16,2;14,8;21,2
Vallès Oriental;Caldes de Montbui;14,9;11,4;16,4;20,0;23,1;28,0;31,9;31,6;28,6;22,3;16,8;15,4;21,8

