Termometría. Temperaturas máximas. Media anual. Comarcas y Aran
2018
Unidades: Grados centígrados.
Fuente: Departamento de Territorio y Sostenibilidad. Servei Meteorològic de Catalunya.
(..) Dato confidencial, con baja fiabilidad o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15193&t=201800&lang=es
;Estaciones;Media mensual. Enero;Media mensual. Febrero;Media mensual. Marzo;Media mensual. Abril;Media mensual. Mayo;Media mensual. Junio;Media mensual. Julio;Media mensual. Agosto;Media mensual. Septiembre;Media mensual. Octubre;Media mensual. Noviembre;Media mensual. Diciembre;Media mensual. Media anual
Alt Camp;Vila-rodona;14,6;11,7;16,4;20,3;22,4;26,9;31,4;31,4;28,1;21,6;16,2;14,3;21,3
Alt Empordà;Roses;15,6;11,9;16,4;20,8;23,9;28,8;32,6;32,0;28,9;22,1;17,6;16,8;22,4
Alt Penedès;la Granada;14,8;11,1;16,2;20,0;22,7;27,1;31,3;31,0;27,8;22,1;16,1;14,5;21,3
Alt Urgell;la Seu d'Urgell;11,1;7,7;12,2;17,7;20,5;25,2;30,0;30,2;27,1;19,6;13,1;12,5;19,0
Alta Ribagorça;el Pont de Suert;11,8;8,5;12,1;17,3;20,5;25,3;29,6;29,3;26,4;19,2;12,9;12,7;18,9
Anoia;els Hostalets de Pierola;14,9;11,7;16,6;20,3;22,9;27,3;32,3;32,1;28,3;22,1;16,3;14,8;21,7
Aran;Vielha e Mijaran;7,7;4,2;10,0;16,5;17,2;22,7;26,0;25,8;23,3;16,7;12,1;10,3;16,1
Bages;Sant Salvador de Guardiola;13,3;10,6;15,6;20,5;22,8;28,1;33,2;33,0;29,6;21,6;15,0;11,3;21,3
Baix Camp;Vinyols i els Arcs;16,3;13,0;17,3;19,7;22,7;27,0;29,9;30,5;27,7;22,5;17,8;16,2;21,8
Baix Ebre;El Perelló;15,1;12,1;17,1;20,0;22,7;27,4;31,1;31,9;28,5;21,6;16,5;14,4;21,6
Baix Empordà;la Bisbal d'Empordà;15,9;11,4;17,0;20,8;23,4;28,6;31,9;31,9;28,7;22,3;17,7;16,6;22,2
Baix Llobregat;el Prat de Llobregat;16,6;12,6;17,2;20,2;23,3;28,0;32,1;32,6;28,2;23,0;18,0;16,3;22,4
Baix Penedès;el Vendrell;16,5;12,7;17,2;20,4;23,9;28,2;31,5;32,0;28,2;23,1;17,9;17,0;22,5
Barcelonès;Barcelona - el Raval;16,3;12,3;17,3;19,8;22,3;26,5;29,9;30,3;27,0;22,6;18,0;16,7;21,6
Berguedà;la Quar;10,2;7,8;12,8;18,5;20,1;25,5;29,9;28,9;25,7;18,1;12,3;10,2;18,4
Cerdanya;Puigcerdà;8,3;4,3;9,7;16,0;17,1;22,6;27,1;26,1;24,2;16,4;10,6;11,8;16,3
Conca de Barberà;l'Espluga de Francolí;12,4;9,8;14,4;18,9;21,8;27,3;32,2;31,7;28,5;20,2;14,3;11,8;20,3
Garraf;Canyelles;15,8;11,9;16,7;19,7;22,5;26,5;30,2;30,4;27,1;22,1;17,2;15,8;21,4
Garrigues;la Granadella;11,5;9,2;13,9;18,6;22,3;28,0;33,3;32,3;28,8;20,1;14,0;11,2;20,3
Garrotxa;Olot;14,1;9,7;15,4;19,9;21,9;26,6;30,9;30,4;27,1;20,9;15,2;14,7;20,6
Gironès;Girona;15,7;11,6;17,1;21,4;23,8;28,9;33,2;32,5;29,0;22,7;17,3;16,4;22,5
Maresme;Cabrils;16,0;11,8;16,5;18,9;21,1;25,1;28,6;29,2;26,4;22,0;17,6;16,7;20,9
Moianès;Moià;..;..;..;..;..;..;..;..;..;..;..;..;..
Montsià;Amposta;16,2;12,8;17,3;20,0;21,8;25,5;28,7;30,1;28,0;22,2;17,7;16,5;21,5
Noguera;Vallfogona de Balaguer;12,6;11,0;15,6;20,2;24,0;29,5;33,5;32,4;29,8;21,6;15,6;9,7;21,3
Osona;Gurb;11,7;9,3;14,1;19,1;21,2;27,2;31,9;30,1;26,8;20,1;13,9;10,3;19,7
Pallars Jussà;la Pobla de Segur;11,1;10,0;14,3;19,5;22,5;27,2;31,9;30,8;28,1;20,5;13,5;8,4;19,9
Pallars Sobirà;Sort;11,6;8,8;12,5;18,5;21,3;25,2;29,6;29,2;26,3;19,7;13,4;12,6;19,1
Pla d'Urgell;Mollerussa;12,5;10,9;15,9;20,4;24,0;29,5;33,8;32,8;29,7;21,4;15,2;9,8;21,4
