2022-1;2022-2;2022-3;2022-4;2022-5;2022-6;2022-7;2022-8;2022-9;2022-10;2022-11;2022-12;2022-13
0.7;1.4;93.2;46.5;44.5;12.9;10.9;47.3;31.4;11;3.4;35;338.2
21.8;2.6;137.4;25.5;9.1;6.6;0.1;38;73.3;8.4;23.2;28.9;374.9
1.7;2;66.2;69.5;32.3;10.4;29.7;67.4;18.4;16.6;3.4;29.8;347.4
8;15.7;42.9;39.8;39.2;32.8;26.3;141.5;83.1;33;19.9;47.3;529.5
10.7;31.6;74.6;79.8;25.8;42;34;115.5;54.1;103.7;45;70;686.8
1.1;6.1;66.9;45.3;58.4;8.3;4.1;67.5;61.7;19.9;2.1;43.7;385.1
135.2;24.5;67.6;87.5;60.9;90.7;34.3;116.8;63;98.9;99.7;25.4;904.5
0.9;2.8;70.4;35.9;54.4;9.4;76.4;78.1;32.6;19.5;7.4;50.6;438.4
3;0.5;84.3;46.2;33.7;17.9;13;10.5;104;7.1;3.5;34.6;358.3
2.5;0.7;91.9;86.1;34.7;9.5;19.9;30.3;108.9;8.1;7.9;23.1;423.6
6.4;2.2;137.2;53.3;29.2;7.6;0.9;12;64.2;57.6;18.5;29.9;419
11.1;8.7;82.6;35.3;20;7;5.6;79.6;20.2;16.7;62.2;33.5;382.5
4.5;0.9;106.8;36.1;25.5;7.6;41.2;48;35.8;10.5;5.7;20.5;343.1
7;2.9;94.5;40.1;20.5;5.4;8;58.9;19;12.1;32.4;30.6;331.4
2.1;15.5;92.8;49.4;54.3;85;24;204.1;88.6;26.1;22.7;43.2;707.8
25.1;6.9;41.2;21.3;78.9;40.7;13.5;91.3;47;31.4;18.1;29.3;444.7
5.7;1.1;69.7;61;36.3;7.1;23.7;59.9;23.5;10;6.2;29.4;333.6
1.7;11.7;51.8;22.1;22.2;10.4;30.5;63.7;18.7;4.8;6.8;26.6;271
7.2;2.2;40.9;55.7;22.6;8.9;33.8;34.7;30.7;18.9;7.1;54.9;317.6
0.6;6.3;147.5;62.1;109.3;14.9;10.2;186.9;165.4;22.5;34.5;15.8;776
3.9;4.5;159.6;79;15.5;9.5;12.9;66.7;76.1;59.3;30.3;21.4;538.7
8.3;0.8;108.9;59.9;16.3;6.4;9;33.7;26.8;9.9;18.4;29.9;328.3
4.6;2.7;87;80.3;47.7;11.3;6;2.2;52.4;19.7;22.6;13.5;350
5.3;3.7;35.6;39.8;9.9;10.5;28.7;9.2;41.4;15.3;8.8;58.6;266.8
2.9;2.1;96.8;55.5;76.2;40.9;3.1;109.7;32;4.7;8.9;30.8;463.6
5.1;13.1;63.9;55.9;32.4;21.8;40.9;73.6;33.5;76.3;38.7;55.8;511
8.6;18.1;52.1;45.6;25.7;27;12.1;94.1;64.7;69.3;26.1;46.3;489.7
6.8;2.8;46.1;50.2;27.2;14.1;22.1;20.1;37.9;39;5.8;45.3;317.4
3.8;2.4;159.4;89;26.9;5.3;0.1;71.1;126.8;46.4;37;18.3;586.5
3.6;1.5;74.8;71.4;30.6;28.3;40.6;45.9;12.7;5.6;13.4;29.5;357.9
5.9;1.4;56.7;70.1;13.9;11.7;45.6;18.6;20.7;5;65.8;29.7;345.1
1.8;23;191.9;46.4;99.8;39.7;34.9;170.6;159.8;18.6;30.1;26.1;842.7
2.3;3.7;46.9;29.4;26;8.4;48.6;42.2;22.4;14.8;12.3;49.1;306.1
5.9;1.7;38.3;41.1;13.5;8.7;28.7;7.1;27.6;17.6;4.2;49.4;243.8
4.9;3.2;147.5;77.1;50.9;7.9;5.6;103.7;63.3;43.2;42.4;15.8;565.5
2.1;8.8;70.8;42.6;63.2;12.7;39;134.7;57.8;68.7;25.7;50.5;576.6
0.5;0.2;81.2;73.7;38.4;8.1;15.4;19.4;185.3;18.4;14.2;31.3;486.1
9.8;1.7;167;146;21.6;10.6;33;72.3;8.2;5.9;83.1;27.1;586.3
4.3;2.7;47.6;32.9;29.8;10.7;22.3;87.4;25.4;29.1;11.1;54;357.3
9.5;2.4;108.1;46.7;37.1;11;11;95.6;16.2;13.6;7.8;34.7;393.7
11.3;1.1;129.7;40.3;21.4;9.2;5.3;72.6;11.6;7.6;6.8;39.1;356
