COMARCA;2028-1;2028-2;2028-3;2028-4;2028-5;2028-6;2028-7;2028-8;2028-9;2028-10;2028-11;2028-12;2028-13
Alt Camp;6.1;2.6;5.3;9.1;11.8;15.4;18.4;19.6;17.1;12.1;8.1;6.8;11.1
Alt Empordà;5.4;4;6.7;9.8;13;17.5;20.2;21;17.2;14.2;9.1;5.1;12
Alt Penedès;4.7;1.8;4.7;8.4;11.2;14.7;17.5;19;16.8;11.3;6.8;4.7;10.2
Alt Urgell;-0.8;-3.5;0.2;5;7.9;12.2;14.1;13.7;12.3;6.9;2.7;-0.6;5.9
Alta Ribagorça;-3.4;-5;-1.6;2.4;6.2;10;11.4;11.3;9.9;4.4;0.7;-3.3;3.6
Anoia;5;1.5;5.1;9.1;11.6;15.8;18.6;19.4;17;11.7;7.6;5.2;10.7
Aran;-0.4;-4.2;-0.1;4.4;5.7;10;12.2;12.1;10.2;4.9;2.3;1.1;4.9
Bages;0.6;-1.4;1.9;5.6;9.3;13.2;15;16.3;14.6;8.8;4.5;0.9;7.5
Baix Camp;7.2;3.9;6.7;9.5;12.7;17.2;20.5;20.9;18.5;13.2;8.6;6.1;12.2
Baix Ebre;7.4;4;7.3;9.9;12.7;17.4;20.5;20.9;18.8;12.9;9.4;7;12.4
Baix Empordà;2.9;0.9;3.6;7.5;10.5;14.4;17.5;18.3;15.6;11.8;7.4;3.4;9.5
Baix Llobregat;6.2;3.4;5.5;9.6;12.5;16.8;20;21.4;18.8;13.5;8.8;6.5;12
Baix Penedès;5.5;2.6;5.8;8.9;12.4;16.3;19.8;20.7;18.1;12.5;7.9;5.4;11.4
Barcelonès;10.1;6.2;9.7;13.6;15.8;20.5;23.8;24.4;21.4;16.1;12.2;10.4;15.4
Berguedà;0.8;-2.2;0.8;5.9;8.2;12.7;15.3;15.3;13.6;8.6;4.1;2.5;7.2
Cerdanya;-2.7;-6.2;-1.5;2.8;5.4;9.5;11.6;11.3;9.2;5;0.5;-1;3.7
Conca de Barberà;3.9;0.7;3.7;6.9;10.4;13.8;16.6;17.4;14.5;9.8;5.5;4;9
Garraf;4.8;1.6;4.8;8.3;11.5;15.4;18.5;19.8;17.3;11.7;7;4.5;10.5
Garrigues;2.9;-0.1;3.5;7;9.8;14.7;17.5;18.1;15.2;9.3;5.4;3;8.9
Garrotxa;0.2;-2;1.3;5.6;8;12.6;15.1;15.4;13.3;8.9;4.5;0.6;7
Gironès;1;-0.8;2;6.7;9.7;13.5;16;16.8;14.1;9.9;5.6;1;8
Maresme;6.7;3.7;7;10.8;13.2;17.3;20.3;21.3;19;13.9;9.7;7.4;12.6
Montsià;6.9;4.6;7.2;9.7;13.9;18;20.8;21;19.4;14.2;10.3;7.5;12.8
Noguera;1;-1.2;2.5;7.1;10.5;14.6;17.8;17.7;15.5;9.5;5.5;1.9;8.6
Osona;0.3;-1.8;1.1;5.3;7.9;12.6;15;15.9;13.8;8.7;4.8;0.9;7.1
Pallars Jussà;-1.5;-2.1;1.8;6.2;9.1;13.6;17.2;16.6;14.1;7.7;3.8;-1;7.2
Pallars Sobirà;-1.4;-2;0.4;4.4;7.7;11.8;13.7;13.9;11.7;6.5;2.3;-1.8;5.7
Pla d'Urgell;1.8;-0.6;3.4;6.5;10.7;14.5;16.9;17.3;14.6;9;4.5;1.9;8.4
Pla de l'Estany;4.5;1.2;4.7;8.8;11.2;15.6;18.7;19;16.5;12;7.7;5.2;10.5
Priorat;4.9;0.9;4.7;8.5;10.7;15.2;18.6;18.7;16.6;10.6;7.2;4.8;10.2
Ribera d'Ebre;3.9;1.5;4.4;8.2;12.3;17.1;20.5;20.4;17.2;11.2;6.6;3;10.6
Ripollès;-1;-3.9;-0.8;3.5;6;10.1;12.4;12.6;10.8;6.4;2.5;-1.1;4.8
Segarra;3;-0.5;2.9;7.1;9.4;13.7;17.2;17.6;15.3;9.5;5.7;2.7;8.7
Segrià;1.8;-1.3;3.1;7.5;10.4;14.9;17.6;17.5;15.1;9;4.7;2;8.6
Selva;2.6;-0.4;2.3;6.8;10.2;14.1;16.6;17.9;14.8;10.3;6.6;3;8.8
Solsonès;1.6;-1.8;1.2;6.3;8.1;12.5;15.5;16.2;14.1;8.5;4.6;1.8;7.4
Tarragonès;7.3;3.8;7.4;10.7;14.2;18.5;21.9;21.9;19.6;13.8;9.1;6.5;12.9
Terra Alta;4.4;1.5;4.6;7.3;9.9;14.6;17.7;17.9;15.9;9.7;6.8;4.9;9.7
Urgell;3.2;-0.2;3.6;7.6;10.4;15;18.5;18.8;16.4;10.3;6.3;3;9.5
Vallès Occidental;4.1;1.1;4.4;8.1;10.4;15.1;17.9;19;16.4;11;7;3.8;9.9
Vallès Oriental;3.2;0.6;3.1;6.9;9.9;15;18.1;19.1;16.7;10.9;6.5;2.6;9.4
