COMARCA;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2019-13
Alt Camp;3.7;3.4;5.5;8.4;9.8;14.2;18.9;19;16.1;13;7;7.2;10.6
Alt Empordà;3.5;4.3;7.2;9.4;12.2;16.2;21.5;20.6;17.1;13.8;6.6;6.7;11.6
Alt Penedès;1.8;2.6;4.6;7.5;9;13.1;17.7;18.3;15.2;11.8;5.9;6.4;9.5
Alt Urgell;-3;-1.4;0.6;3.3;5.2;10.9;14.5;14.3;10.8;7;0.3;0.3;5.3
Alta Ribagorça;-5.3;-4.4;-2.2;1.5;3.4;7.6;11.7;11.7;8;4.2;-1.4;-2.1;2.8
Anoia;1.9;4;5.9;7.7;9.7;15.1;19;19.2;16;12.9;6.1;6.3;10.4
Aran;-3.5;-0.2;0.5;3;4.5;9.9;12.8;11.9;8.8;6.7;0.3;1.6;4.7
Bages;-2.8;-1;1;5;6.9;10.9;15.9;15.9;12.6;9.2;2.7;3.1;6.7
Baix Camp;4.9;3.8;5.9;9.2;11.5;14.6;20.3;20.2;17.2;13.9;8.7;7.2;11.5
Baix Ebre;4.6;5.7;8.1;9.8;12.2;16.4;20.9;20.7;17.5;14.4;9.4;8;12.3
Baix Empordà;0.1;1.6;3.4;6.4;8.7;13;18.3;17.9;14.3;11.7;4.8;4.4;8.8
Baix Llobregat;3.2;4.6;6.5;9;10.4;14.6;19.8;20.3;17.2;13.8;6.9;7.6;11.2
Baix Penedès;2.4;2.3;4.8;8.4;10.3;14.2;19.6;19.7;16.7;13.1;6.7;6.6;10.5
Barcelonès;7.3;9.1;11.3;12.6;14.3;19.5;23.5;23.8;20.5;17.6;11.1;11.3;15.2
Berguedà;-1.4;1.9;2.6;4;6.2;13.1;16;15.8;12.4;9.2;1.4;2.7;7
Cerdanya;-4;-2.2;-0.5;1.4;3.7;8.9;12.1;11.6;8;4.9;-1.2;-0.3;3.6
Conca de Barberà;0.6;0.9;2.9;6.4;8.3;12.8;17.1;16.9;13;10.4;5;4.5;8.3
Garraf;1.3;2.2;4.5;7.7;9.6;13.7;18.6;18.9;15.9;12.2;6.3;6.3;9.8
Garrigues;-0.1;1;3.7;6.6;8.4;13.9;18;17.7;13.7;10.4;5;4.2;8.6
Garrotxa;-2.7;-0.6;1.7;4.5;6.1;11.1;15.8;15.5;12.1;9.3;1.7;1.9;6.4
Gironès;-3.1;-0.6;1.8;6;7.8;12.1;17.3;16;12.9;10.1;2.6;2.5;7.2
Maresme;4.4;5.5;8.1;10.1;11.3;16.2;20.2;20.6;17.8;14.8;8.2;7.9;12.1
Montsià;5.6;5.2;7.7;10.5;14;17.6;21.6;21;18.2;15.1;9.5;8.8;12.9
Noguera;-2.4;-0.6;1.6;5.9;8.1;13.8;17.8;17.6;12.8;9.3;2.8;4.3;7.6
Osona;-2.8;-1;1.2;4.6;6.2;10.7;15.4;15.3;12.4;8.9;1.8;2.3;6.3
Pallars Jussà;-3.8;-1.8;1.5;4.4;7.3;13.1;17.3;16.7;12.9;7.8;1.6;0.6;6.5
Pallars Sobirà;-2.3;-1.6;0.7;3.3;6.2;9.9;14.2;13.8;11.1;6.2;0.9;-0.3;5.2
Pla d'Urgell;-1.4;-1;1.6;5.9;8.4;13.2;17.1;17.2;13.1;9.5;3.4;4.4;7.7
Pla de l'Estany;1.3;3.9;6.1;7.7;9.3;14.9;19.6;19.2;15.5;12.8;5.4;6;10.2
Priorat;1;3.9;5.6;7.3;9.4;15.5;19;18.9;14.9;12;6.1;5.8;10
Ribera d'Ebre;0.6;0.9;3.3;8.1;11;15.7;20.2;20.1;15.1;12;5.4;5;9.8
Ripollès;-4.3;-2.7;-0.9;2.9;3.5;9.3;12.7;12.3;9.2;6.5;-0.3;0.5;4.1
Segarra;-0.7;1.9;3.3;5.7;7.6;13.8;17.7;17.7;13.9;10.6;4.2;4.1;8.4
Segrià;-1.8;0;2.6;6.4;8.5;14;17.5;17.4;12.3;8.8;2.5;3.8;7.7
Selva;-1.9;0.1;2.8;6.1;8.1;12.2;17.1;16.4;13.5;10;3.9;3.9;7.7
Solsonès;-1.7;-0.1;1.6;4.3;6.2;11.1;15.3;15.4;11.9;8.3;2.3;2.4;6.4
Tarragonès;3.8;5;7.4;10.3;12.5;16.2;21.5;21.3;18.1;14.6;8.9;8.1;12.4
Terra Alta;1.9;3.7;5.2;6.9;9;14.5;17.9;17.9;14.3;11.5;6.2;5.3;9.6
Urgell;-0.5;2.4;4.3;6.2;8.5;15.1;19;18.8;14.9;11.4;4.6;5;9.2
Vallès Occidental;0.3;2.3;4.7;7.3;8.6;13.9;18.1;18.3;15.2;12.1;5;5.5;9.3
Vallès Oriental;-0.9;1.2;3.8;7;8.4;13.5;18.7;18.6;15.6;12.1;4.7;5;9
