2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2020-13
111;0.2;51.5;148.1;44.3;69.4;0.6;88.5;109;12.5;58.1;8.7;701.9
183.3;2.1;31.3;234.3;27.1;32.4;9.8;11.2;41.3;58.8;52.9;9.7;694.2
143.4;1.7;64.4;155.1;95.4;87.7;2.2;27.5;107.9;16.2;70.8;13.7;786
100.9;0.4;69.1;57.7;65.7;133.8;20.6;44.7;36.4;37.4;55;10.8;632.5
97.4;2.9;149.6;104.8;113.2;102.8;44.9;97;42;77.7;66;24.8;923.1
89.2;0.7;67.6;158.8;80.8;116.5;1.5;32.1;43.4;12.4;59.1;9.4;671.5
55.7;5.6;152.5;98.9;86.5;188.9;32;45.6;112.6;121.2;36.9;120.4;1056.8
137.8;0.1;68.8;147.5;57.8;74.8;9.7;47.5;24.9;12.8;58.8;11;651.5
164.8;1.3;50.4;122.8;78.9;71.6;0.1;46.1;47.7;5.3;69.7;15.9;674.6
254.5;4;49.2;171.1;57.8;31.6;0.1;3.2;25.4;5.3;77.5;12.2;691.9
180.7;6.6;73.9;217.6;12.8;123.1;7;15.1;12.5;52.6;59.4;16.7;778
139.1;0.6;78.1;265.1;24.8;56.6;35.8;46;124.3;50.8;51.3;46.2;918.7
98.7;1.5;55.7;159.5;18.7;59.9;0;48;76.9;17.1;82.4;20.3;638.7
120.4;1.4;46.9;261;18.9;47.7;83.4;33;99.5;67.2;67.2;9.1;855.7
117.3;1;51.6;99.6;109.2;221.7;130.8;194.1;81.3;58;63.2;11.5;1139.3
103.4;0.7;51.1;52.1;70.8;89.2;35.9;74.9;63.3;47.6;50.6;25.1;664.7
115.1;0;57.3;97.6;54.4;57.9;4.7;5;33.5;11.5;63.6;17.4;518
120.6;1.7;60;156.9;26.2;81.5;0.3;31.2;77.8;19.2;64.6;28.1;668.1
131.8;0.6;24.2;91.3;89.3;59.5;3.6;1.1;15.8;24.1;100.9;28.1;570.3
332.2;1.9;42.6;145.5;55.7;205.5;104.2;85.3;79.7;57.7;137.3;7;1254.6
253.5;9.4;75.2;215.1;25.5;144.4;35.3;48;28.6;58.1;84.6;6.6;984.3
175;14.7;55.5;154.1;24.9;39.5;14;44.8;67.3;65.4;49.2;5.6;710
164.2;0.9;75.1;238.2;37;42.7;0;4.4;15.6;9.8;83.4;7;678.3
85.8;1.6;57.2;81.9;61;40.4;9.2;1.2;22.2;15.2;61.8;20.8;458.3
152.9;0.3;17.5;76.8;71.3;173.2;48.3;134.7;55.7;88.7;89.9;16.2;925.5
68.7;0.1;81.1;101.4;80.7;117.8;61.1;41.1;25.9;55;58.9;13.9;705.7
85.3;1.2;114.4;67.3;73.7;161.8;38;51.2;37.1;92.7;49.4;25.9;798
75.4;1.9;29.2;77.3;83.7;53.9;27.3;1.4;12.4;14.4;52.2;26.6;455.7
219.9;7.2;101.5;196.5;38.3;113.7;33.9;30.5;48.4;50;114.7;11.5;966.1
255.4;0.8;50.6;133.5;105.3;41.3;1.1;11;11.8;16.6;119.7;22.5;769.6
121;0;31.9;103.7;103.9;35.3;1.2;4.8;3.8;13.1;112.9;21.7;553.3
324.6;5.3;79.3;147.6;106.4;190.8;92.7;172.9;187;87;143.3;14.9;1551.8
87.5;0.9;27.5;82.9;50.3;70.2;6.7;13;17.9;22.4;45.8;17;442.1
100.2;2.4;43.9;72.2;81;48.7;1.7;17.8;5.8;19.8;74.1;33;500.6
280.2;4.9;76;201.1;81.9;123.9;45.8;54.4;37.9;53.1;163;20.9;1143.1
86.3;0.2;58.8;83;47.2;85.4;54.4;62.4;30.6;41.5;44.3;7.8;601.9
97.5;0.7;43.6;114.3;33.4;67.5;1.6;65.3;13.5;12.4;64.9;26.3;541
317.1;0.5;133.5;142.2;148.1;44.5;9;3.4;7.7;12;209.2;25.6;1052.8
86.6;0.8;29.5;122.8;74.9;105;1.9;37.9;25.8;19.4;48.9;18.4;571.9
135.7;0.9;68.6;175.4;88;80.5;13;83.6;39.4;29.3;67.2;65.6;847.2
116.2;0.6;46.5;168.2;71.6;59.9;20.6;32.5;38.3;96;79.4;80.5;810.3
